========== Landscape 评估汇总（按 angle, pitch 组合）==========
组合 (angle200, pitch70)：AP@0.5 = 0.3172
组合 (angle220, pitch70)：AP@0.5 = 0.4401
组合 (angle240, pitch70)：AP@0.5 = 0.4113
组合 (angle260, pitch70)：AP@0.5 = 0.1818
组合 (angle280, pitch70)：AP@0.5 = 0.2003
组合 (angle300, pitch70)：AP@0.5 = 0.3332
组合 (angle320, pitch70)：AP@0.5 = 0.3318
组合 (angle340, pitch70)：AP@0.5 = 0.2922
组合 (angle0, pitch80)：AP@0.5 = 0.2747
组合 (angle20, pitch80)：AP@0.5 = 0.2070
组合 (angle40, pitch80)：AP@0.5 = 0.1898
组合 (angle60, pitch80)：AP@0.5 = 0.2525
组合 (angle80, pitch80)：AP@0.5 = 0.1351
组合 (angle100, pitch80)：AP@0.5 = 0.1682
组合 (angle120, pitch80)：AP@0.5 = 0.2572
组合 (angle140, pitch80)：AP@0.5 = 0.3297
组合 (angle160, pitch80)：AP@0.5 = 0.1581
组合 (angle180, pitch80)：AP@0.5 = 0.2926
组合 (angle200, pitch80)：AP@0.5 = 0.2238
组合 (angle220, pitch80)：AP@0.5 = 0.3541
组合 (angle240, pitch80)：AP@0.5 = 0.2367
组合 (angle260, pitch80)：AP@0.5 = 0.0909
组合 (angle280, pitch80)：AP@0.5 = 0.1768
组合 (angle300, pitch80)：AP@0.5 = 0.2553
组合 (angle320, pitch80)：AP@0.5 = 0.2059
组合 (angle340, pitch80)：AP@0.5 = 0.1929
组合 (angle0, pitch89)：AP@0.5 = 0.2261
组合 (angle20, pitch89)：AP@0.5 = 0.2041
组合 (angle40, pitch89)：AP@0.5 = 0.2081
组合 (angle60, pitch89)：AP@0.5 = 0.1591
组合 (angle80, pitch89)：AP@0.5 = 0.0909
组合 (angle100, pitch89)：AP@0.5 = 0.0795
组合 (angle120, pitch89)：AP@0.5 = 0.1770
组合 (angle140, pitch89)：AP@0.5 = 0.2462
组合 (angle160, pitch89)：AP@0.5 = 0.1414
组合 (angle180, pitch89)：AP@0.5 = 0.2892
组合 (angle200, pitch89)：AP@0.5 = 0.2088
组合 (angle220, pitch89)：AP@0.5 = 0.3394
组合 (angle240, pitch89)：AP@0.5 = 0.1667
组合 (angle260, pitch89)：AP@0.5 = 0.1612
组合 (angle280, pitch89)：AP@0.5 = 0.1364
组合 (angle300, pitch89)：AP@0.5 = 0.1506
组合 (angle320, pitch89)：AP@0.5 = 0.1550
组合 (angle340, pitch89)：AP@0.5 = 0.1961

【方法：fca】
组合 (angle0, pitch5)：AP@0.5 = 0.8969
组合 (angle20, pitch5)：AP@0.5 = 0.9042
组合 (angle40, pitch5)：AP@0.5 = 0.9019
组合 (angle60, pitch5)：AP@0.5 = 0.8892
组合 (angle80, pitch5)：AP@0.5 = 0.8063
组合 (angle100, pitch5)：AP@0.5 = 0.8508
组合 (angle120, pitch5)：AP@0.5 = 0.8140
组合 (angle140, pitch5)：AP@0.5 = 0.8439
组合 (angle160, pitch5)：AP@0.5 = 0.7985
组合 (angle180, pitch5)：AP@0.5 = 0.8679
组合 (angle200, pitch5)：AP@0.5 = 0.7667
组合 (angle220, pitch5)：AP@0.5 = 0.8605
组合 (angle240, pitch5)：AP@0.5 = 0.5550
组合 (angle260, pitch5)：AP@0.5 = 0.5004
组合 (angle280, pitch5)：AP@0.5 = 0.6747
组合 (angle300, pitch5)：AP@0.5 = 0.5322
组合 (angle320, pitch5)：AP@0.5 = 0.6770
组合 (angle340, pitch5)：AP@0.5 = 0.9826
组合 (angle0, pitch10)：AP@0.5 = 0.9337
组合 (angle20, pitch10)：AP@0.5 = 0.9602
组合 (angle40, pitch10)：AP@0.5 = 0.9001
组合 (angle60, pitch10)：AP@0.5 = 0.8894
组合 (angle80, pitch10)：AP@0.5 = 0.8707
组合 (angle100, pitch10)：AP@0.5 = 0.8666
组合 (angle120, pitch10)：AP@0.5 = 0.8899
组合 (angle140, pitch10)：AP@0.5 = 0.7837
组合 (angle160, pitch10)：AP@0.5 = 0.8182
组合 (angle180, pitch10)：AP@0.5 = 0.8319
组合 (angle200, pitch10)：AP@0.5 = 0.7626
组合 (angle220, pitch10)：AP@0.5 = 0.8779
组合 (angle240, pitch10)：AP@0.5 = 0.6217
组合 (angle260, pitch10)：AP@0.5 = 0.5415
组合 (angle280, pitch10)：AP@0.5 = 0.6675
组合 (angle300, pitch10)：AP@0.5 = 0.5403
组合 (angle320, pitch10)：AP@0.5 = 0.7076
组合 (angle340, pitch10)：AP@0.5 = 0.8676
组合 (angle0, pitch20)：AP@0.5 = 0.9156
组合 (angle20, pitch20)：AP@0.5 = 0.9026
组合 (angle40, pitch20)：AP@0.5 = 0.8943
组合 (angle60, pitch20)：AP@0.5 = 0.9144
组合 (angle80, pitch20)：AP@0.5 = 0.6802
组合 (angle100, pitch20)：AP@0.5 = 0.8077
组合 (angle120, pitch20)：AP@0.5 = 0.8200
组合 (angle140, pitch20)：AP@0.5 = 0.6501
组合 (angle160, pitch20)：AP@0.5 = 0.6433
组合 (angle180, pitch20)：AP@0.5 = 0.7822
组合 (angle200, pitch20)：AP@0.5 = 0.7976
组合 (angle220, pitch20)：AP@0.5 = 0.9032
组合 (angle240, pitch20)：AP@0.5 = 0.6210
组合 (angle260, pitch20)：AP@0.5 = 0.5151
组合 (angle280, pitch20)：AP@0.5 = 0.4369
组合 (angle300, pitch20)：AP@0.5 = 0.4901
组合 (angle320, pitch20)：AP@0.5 = 0.7350
组合 (angle340, pitch20)：AP@0.5 = 0.9876
组合 (angle0, pitch30)：AP@0.5 = 0.9130
组合 (angle20, pitch30)：AP@0.5 = 0.8823
组合 (angle40, pitch30)：AP@0.5 = 0.8345
组合 (angle60, pitch30)：AP@0.5 = 0.8461
组合 (angle80, pitch30)：AP@0.5 = 0.5146
组合 (angle100, pitch30)：AP@0.5 = 0.5996
组合 (angle120, pitch30)：AP@0.5 = 0.6747
组合 (angle140, pitch30)：AP@0.5 = 0.5744
组合 (angle160, pitch30)：AP@0.5 = 0.4997
组合 (angle180, pitch30)：AP@0.5 = 0.5487
组合 (angle200, pitch30)：AP@0.5 = 0.6179
组合 (angle220, pitch30)：AP@0.5 = 0.7392
组合 (angle240, pitch30)：AP@0.5 = 0.5380
组合 (angle260, pitch30)：AP@0.5 = 0.3616
组合 (angle280, pitch30)：AP@0.5 = 0.3250
组合 (angle300, pitch30)：AP@0.5 = 0.3063
组合 (angle320, pitch30)：AP@0.5 = 0.7365
组合 (angle340, pitch30)：AP@0.5 = 0.9002
组合 (angle0, pitch40)：AP@0.5 = 0.8656
组合 (angle20, pitch40)：AP@0.5 = 0.7921
组合 (angle40, pitch40)：AP@0.5 = 0.7279
组合 (angle60, pitch40)：AP@0.5 = 0.7197
组合 (angle80, pitch40)：AP@0.5 = 0.4679
组合 (angle100, pitch40)：AP@0.5 = 0.5207
组合 (angle120, pitch40)：AP@0.5 = 0.5593
组合 (angle140, pitch40)：AP@0.5 = 0.4221
组合 (angle160, pitch40)：AP@0.5 = 0.3885
组合 (angle180, pitch40)：AP@0.5 = 0.4158
组合 (angle200, pitch40)：AP@0.5 = 0.5114
组合 (angle220, pitch40)：AP@0.5 = 0.7296
组合 (angle240, pitch40)：AP@0.5 = 0.5034
组合 (angle260, pitch40)：AP@0.5 = 0.3649
组合 (angle280, pitch40)：AP@0.5 = 0.2634
组合 (angle300, pitch40)：AP@0.5 = 0.3125
组合 (angle320, pitch40)：AP@0.5 = 0.7066
组合 (angle340, pitch40)：AP@0.5 = 0.7142
组合 (angle0, pitch50)：AP@0.5 = 0.7541
组合 (angle20, pitch50)：AP@0.5 = 0.6337
组合 (angle40, pitch50)：AP@0.5 = 0.6103
组合 (angle60, pitch50)：AP@0.5 = 0.5751
组合 (angle80, pitch50)：AP@0.5 = 0.4989
组合 (angle100, pitch50)：AP@0.5 = 0.4898
组合 (angle120, pitch50)：AP@0.5 = 0.5873
组合 (angle140, pitch50)：AP@0.5 = 0.5220
组合 (angle160, pitch50)：AP@0.5 = 0.6220
组合 (angle180, pitch50)：AP@0.5 = 0.6679
组合 (angle200, pitch50)：AP@0.5 = 0.6791
组合 (angle220, pitch50)：AP@0.5 = 0.6438
组合 (angle240, pitch50)：AP@0.5 = 0.4442
组合 (angle260, pitch50)：AP@0.5 = 0.4248
组合 (angle280, pitch50)：AP@0.5 = 0.3479
组合 (angle300, pitch50)：AP@0.5 = 0.4615
组合 (angle320, pitch50)：AP@0.5 = 0.5698
组合 (angle340, pitch50)：AP@0.5 = 0.6478
组合 (angle0, pitch60)：AP@0.5 = 0.5957
组合 (angle20, pitch60)：AP@0.5 = 0.4347
组合 (angle40, pitch60)：AP@0.5 = 0.4180
组合 (angle60, pitch60)：AP@0.5 = 0.5214
组合 (angle80, pitch60)：AP@0.5 = 0.4308
组合 (angle100, pitch60)：AP@0.5 = 0.4227
组合 (angle120, pitch60)：AP@0.5 = 0.4929
组合 (angle140, pitch60)：AP@0.5 = 0.4362
组合 (angle160, pitch60)：AP@0.5 = 0.4381
组合 (angle180, pitch60)：AP@0.5 = 0.5821
组合 (angle200, pitch60)：AP@0.5 = 0.4472
组合 (angle220, pitch60)：AP@0.5 = 0.5191
组合 (angle240, pitch60)：AP@0.5 = 0.5973
组合 (angle260, pitch60)：AP@0.5 = 0.3122
组合 (angle280, pitch60)：AP@0.5 = 0.3013
组合 (angle300, pitch60)：AP@0.5 = 0.5238
组合 (angle320, pitch60)：AP@0.5 = 0.4717
组合 (angle340, pitch60)：AP@0.5 = 0.5259
组合 (angle0, pitch70)：AP@0.5 = 0.4839
组合 (angle20, pitch70)：AP@0.5 = 0.3753
组合 (angle40, pitch70)：AP@0.5 = 0.4198
组合 (angle60, pitch70)：AP@0.5 = 0.4141
组合 (angle80, pitch70)：AP@0.5 = 0.3256
组合 (angle100, pitch70)：AP@0.5 = 0.3442
组合 (angle120, pitch70)：AP@0.5 = 0.4070
组合 (angle140, pitch70)：AP@0.5 = 0.3911
组合 (angle160, pitch70)：AP@0.5 = 0.3881
组合 (angle180, pitch70)：AP@0.5 = 0.5050
组合 (angle200, pitch70)：AP@0.5 = 0.3475
组合 (angle220, pitch70)：AP@0.5 = 0.4959
组合 (angle240, pitch70)：AP@0.5 = 0.4408
组合 (angle260, pitch70)：AP@0.5 = 0.1494
组合 (angle280, pitch70)：AP@0.5 = 0.2436
组合 (angle300, pitch70)：AP@0.5 = 0.4818
组合 (angle320, pitch70)：AP@0.5 = 0.4340
组合 (angle340, pitch70)：AP@0.5 = 0.4419
组合 (angle0, pitch80)：AP@0.5 = 0.3560
组合 (angle20, pitch80)：AP@0.5 = 0.2295
组合 (angle40, pitch80)：AP@0.5 = 0.3044
组合 (angle60, pitch80)：AP@0.5 = 0.3199
组合 (angle80, pitch80)：AP@0.5 = 0.2448
组合 (angle100, pitch80)：AP@0.5 = 0.2594
组合 (angle120, pitch80)：AP@0.5 = 0.4111
组合 (angle140, pitch80)：AP@0.5 = 0.3950
组合 (angle160, pitch80)：AP@0.5 = 0.3142
组合 (angle180, pitch80)：AP@0.5 = 0.3433
组合 (angle200, pitch80)：AP@0.5 = 0.2677
组合 (angle220, pitch80)：AP@0.5 = 0.3555
组合 (angle240, pitch80)：AP@0.5 = 0.3282
组合 (angle260, pitch80)：AP@0.5 = 0.1660
组合 (angle280, pitch80)：AP@0.5 = 0.2490
组合 (angle300, pitch80)：AP@0.5 = 0.2424
组合 (angle320, pitch80)：AP@0.5 = 0.2966
组合 (angle340, pitch80)：AP@0.5 = 0.2966
组合 (angle0, pitch89)：AP@0.5 = 0.2314
组合 (angle20, pitch89)：AP@0.5 = 0.2094
组合 (angle40, pitch89)：AP@0.5 = 0.3117
组合 (angle60, pitch89)：AP@0.5 = 0.2401
组合 (angle80, pitch89)：AP@0.5 = 0.2500
组合 (angle100, pitch89)：AP@0.5 = 0.1313
组合 (angle120, pitch89)：AP@0.5 = 0.2664
组合 (angle140, pitch89)：AP@0.5 = 0.3166
组合 (angle160, pitch89)：AP@0.5 = 0.2914
组合 (angle180, pitch89)：AP@0.5 = 0.3024
组合 (angle200, pitch89)：AP@0.5 = 0.2554
组合 (angle220, pitch89)：AP@0.5 = 0.2727
组合 (angle240, pitch89)：AP@0.5 = 0.2659
组合 (angle260, pitch89)：AP@0.5 = 0.1768
组合 (angle280, pitch89)：AP@0.5 = 0.1682
组合 (angle300, pitch89)：AP@0.5 = 0.2636
组合 (angle320, pitch89)：AP@0.5 = 0.2815
组合 (angle340, pitch89)：AP@0.5 = 0.2077

【方法：gcac】
组合 (angle0, pitch5)：AP@0.5 = 0.6538
组合 (angle20, pitch5)：AP@0.5 = 0.6743
组合 (angle40, pitch5)：AP@0.5 = 0.6788
组合 (angle60, pitch5)：AP@0.5 = 0.6753
组合 (angle80, pitch5)：AP@0.5 = 0.7287
组合 (angle100, pitch5)：AP@0.5 = 0.7555
组合 (angle120, pitch5)：AP@0.5 = 0.6304
组合 (angle140, pitch5)：AP@0.5 = 0.5057
组合 (angle160, pitch5)：AP@0.5 = 0.4243
组合 (angle180, pitch5)：AP@0.5 = 0.5426
组合 (angle200, pitch5)：AP@0.5 = 0.3867
组合 (angle220, pitch5)：AP@0.5 = 0.3493
组合 (angle240, pitch5)：AP@0.5 = 0.1625
组合 (angle260, pitch5)：AP@0.5 = 0.2335
组合 (angle280, pitch5)：AP@0.5 = 0.3622
组合 (angle300, pitch5)：AP@0.5 = 0.2240
组合 (angle320, pitch5)：AP@0.5 = 0.2381
组合 (angle340, pitch5)：AP@0.5 = 0.6916
组合 (angle0, pitch10)：AP@0.5 = 0.6433
组合 (angle20, pitch10)：AP@0.5 = 0.5881
组合 (angle40, pitch10)：AP@0.5 = 0.4774
组合 (angle60, pitch10)：AP@0.5 = 0.5058
组合 (angle80, pitch10)：AP@0.5 = 0.6240
组合 (angle100, pitch10)：AP@0.5 = 0.5841
组合 (angle120, pitch10)：AP@0.5 = 0.6819
组合 (angle140, pitch10)：AP@0.5 = 0.3004
组合 (angle160, pitch10)：AP@0.5 = 0.2654
组合 (angle180, pitch10)：AP@0.5 = 0.3605
组合 (angle200, pitch10)：AP@0.5 = 0.3228
组合 (angle220, pitch10)：AP@0.5 = 0.2839
组合 (angle240, pitch10)：AP@0.5 = 0.1140
组合 (angle260, pitch10)：AP@0.5 = 0.1365
组合 (angle280, pitch10)：AP@0.5 = 0.1564
组合 (angle300, pitch10)：AP@0.5 = 0.0723
组合 (angle320, pitch10)：AP@0.5 = 0.1595
组合 (angle340, pitch10)：AP@0.5 = 0.4887
组合 (angle0, pitch20)：AP@0.5 = 0.6185
组合 (angle20, pitch20)：AP@0.5 = 0.5038
组合 (angle40, pitch20)：AP@0.5 = 0.3794
组合 (angle60, pitch20)：AP@0.5 = 0.4064
组合 (angle80, pitch20)：AP@0.5 = 0.2421
组合 (angle100, pitch20)：AP@0.5 = 0.2906
组合 (angle120, pitch20)：AP@0.5 = 0.3572
组合 (angle140, pitch20)：AP@0.5 = 0.1067
组合 (angle160, pitch20)：AP@0.5 = 0.0709
组合 (angle180, pitch20)：AP@0.5 = 0.2456
组合 (angle200, pitch20)：AP@0.5 = 0.2290
组合 (angle220, pitch20)：AP@0.5 = 0.5055
组合 (angle240, pitch20)：AP@0.5 = 0.0654
组合 (angle260, pitch20)：AP@0.5 = 0.0679
组合 (angle280, pitch20)：AP@0.5 = 0.0384
组合 (angle300, pitch20)：AP@0.5 = 0.0411
组合 (angle320, pitch20)：AP@0.5 = 0.1862
组合 (angle340, pitch20)：AP@0.5 = 0.5242
组合 (angle0, pitch30)：AP@0.5 = 0.4308
组合 (angle20, pitch30)：AP@0.5 = 0.3470
组合 (angle40, pitch30)：AP@0.5 = 0.2868
组合 (angle60, pitch30)：AP@0.5 = 0.2605
组合 (angle80, pitch30)：AP@0.5 = 0.1623
组合 (angle100, pitch30)：AP@0.5 = 0.2259
组合 (angle120, pitch30)：AP@0.5 = 0.1357
组合 (angle140, pitch30)：AP@0.5 = 0.0637
组合 (angle160, pitch30)：AP@0.5 = 0.0420
组合 (angle180, pitch30)：AP@0.5 = 0.0548
组合 (angle200, pitch30)：AP@0.5 = 0.0807
组合 (angle220, pitch30)：AP@0.5 = 0.1655
组合 (angle240, pitch30)：AP@0.5 = 0.0362
组合 (angle260, pitch30)：AP@0.5 = 0.0525
组合 (angle280, pitch30)：AP@0.5 = 0.0227
组合 (angle300, pitch30)：AP@0.5 = 0.0160
组合 (angle320, pitch30)：AP@0.5 = 0.1193
组合 (angle340, pitch30)：AP@0.5 = 0.4169
组合 (angle0, pitch40)：AP@0.5 = 0.3918
组合 (angle20, pitch40)：AP@0.5 = 0.3738
组合 (angle40, pitch40)：AP@0.5 = 0.2342
组合 (angle60, pitch40)：AP@0.5 = 0.2751
组合 (angle80, pitch40)：AP@0.5 = 0.1445
组合 (angle100, pitch40)：AP@0.5 = 0.1983
组合 (angle120, pitch40)：AP@0.5 = 0.1129
组合 (angle140, pitch40)：AP@0.5 = 0.0405
组合 (angle160, pitch40)：AP@0.5 = 0.0235
组合 (angle180, pitch40)：AP@0.5 = 0.0366
组合 (angle200, pitch40)：AP@0.5 = 0.0642
组合 (angle220, pitch40)：AP@0.5 = 0.1884
组合 (angle240, pitch40)：AP@0.5 = 0.0345
组合 (angle260, pitch40)：AP@0.5 = 0.0450
组合 (angle280, pitch40)：AP@0.5 = 0.0192
组合 (angle300, pitch40)：AP@0.5 = 0.0174
组合 (angle320, pitch40)：AP@0.5 = 0.0958
组合 (angle340, pitch40)：AP@0.5 = 0.2605
组合 (angle0, pitch50)：AP@0.5 = 0.2814
组合 (angle20, pitch50)：AP@0.5 = 0.2536
组合 (angle40, pitch50)：AP@0.5 = 0.3233
组合 (angle60, pitch50)：AP@0.5 = 0.2686
组合 (angle80, pitch50)：AP@0.5 = 0.2195
组合 (angle100, pitch50)：AP@0.5 = 0.2677
组合 (angle120, pitch50)：AP@0.5 = 0.2413
组合 (angle140, pitch50)：AP@0.5 = 0.1557
组合 (angle160, pitch50)：AP@0.5 = 0.2727
组合 (angle180, pitch50)：AP@0.5 = 0.1333
组合 (angle200, pitch50)：AP@0.5 = 0.2454
组合 (angle220, pitch50)：AP@0.5 = 0.2240
组合 (angle240, pitch50)：AP@0.5 = 0.0839
组合 (angle260, pitch50)：AP@0.5 = 0.0980
组合 (angle280, pitch50)：AP@0.5 = 0.0553
组合 (angle300, pitch50)：AP@0.5 = 0.0771
组合 (angle320, pitch50)：AP@0.5 = 0.1181
组合 (angle340, pitch50)：AP@0.5 = 0.2274
组合 (angle0, pitch60)：AP@0.5 = 0.2020
组合 (angle20, pitch60)：AP@0.5 = 0.2399
组合 (angle40, pitch60)：AP@0.5 = 0.2389
组合 (angle60, pitch60)：AP@0.5 = 0.2727
组合 (angle80, pitch60)：AP@0.5 = 0.1770
组合 (angle100, pitch60)：AP@0.5 = 0.1777
组合 (angle120, pitch60)：AP@0.5 = 0.2308
组合 (angle140, pitch60)：AP@0.5 = 0.1926
组合 (angle160, pitch60)：AP@0.5 = 0.2301
组合 (angle180, pitch60)：AP@0.5 = 0.2332
组合 (angle200, pitch60)：AP@0.5 = 0.2413
组合 (angle220, pitch60)：AP@0.5 = 0.2413
组合 (angle240, pitch60)：AP@0.5 = 0.3371
组合 (angle260, pitch60)：AP@0.5 = 0.1818
组合 (angle280, pitch60)：AP@0.5 = 0.2334
组合 (angle300, pitch60)：AP@0.5 = 0.2325
组合 (angle320, pitch60)：AP@0.5 = 0.2220
组合 (angle340, pitch60)：AP@0.5 = 0.2391
组合 (angle0, pitch70)：AP@0.5 = 0.2072
组合 (angle20, pitch70)：AP@0.5 = 0.2066
组合 (angle40, pitch70)：AP@0.5 = 0.2258
组合 (angle60, pitch70)：AP@0.5 = 0.2223
组合 (angle80, pitch70)：AP@0.5 = 0.1016
组合 (angle100, pitch70)：AP@0.5 = 0.1660
组合 (angle120, pitch70)：AP@0.5 = 0.1770
组合 (angle140, pitch70)：AP@0.5 = 0.2047
组合 (angle160, pitch70)：AP@0.5 = 0.1682
组合 (angle180, pitch70)：AP@0.5 = 0.1818
组合 (angle200, pitch70)：AP@0.5 = 0.2242
组合 (angle220, pitch70)：AP@0.5 = 0.2659
组合 (angle240, pitch70)：AP@0.5 = 0.2432
组合 (angle260, pitch70)：AP@0.5 = 0.1727
组合 (angle280, pitch70)：AP@0.5 = 0.2462
组合 (angle300, pitch70)：AP@0.5 = 0.1768
组合 (angle320, pitch70)：AP@0.5 = 0.2391
组合 (angle340, pitch70)：AP@0.5 = 0.1392
组合 (angle0, pitch80)：AP@0.5 = 0.1482
组合 (angle20, pitch80)：AP@0.5 = 0.1218
组合 (angle40, pitch80)：AP@0.5 = 0.1694
组合 (angle60, pitch80)：AP@0.5 = 0.1591
组合 (angle80, pitch80)：AP@0.5 = 0.1461
组合 (angle100, pitch80)：AP@0.5 = 0.1775
组合 (angle120, pitch80)：AP@0.5 = 0.1722
组合 (angle140, pitch80)：AP@0.5 = 0.2310
组合 (angle160, pitch80)：AP@0.5 = 0.1195
组合 (angle180, pitch80)：AP@0.5 = 0.1722
组合 (angle200, pitch80)：AP@0.5 = 0.1768
组合 (angle220, pitch80)：AP@0.5 = 0.1818
组合 (angle240, pitch80)：AP@0.5 = 0.1682
组合 (angle260, pitch80)：AP@0.5 = 0.1722
组合 (angle280, pitch80)：AP@0.5 = 0.1636
组合 (angle300, pitch80)：AP@0.5 = 0.1515
组合 (angle320, pitch80)：AP@0.5 = 0.1773
组合 (angle340, pitch80)：AP@0.5 = 0.1377
组合 (angle0, pitch89)：AP@0.5 = 0.1300
组合 (angle20, pitch89)：AP@0.5 = 0.1256
组合 (angle40, pitch89)：AP@0.5 = 0.0606
组合 (angle60, pitch89)：AP@0.5 = 0.1375
组合 (angle80, pitch89)：AP@0.5 = 0.0909
组合 (angle100, pitch89)：AP@0.5 = 0.0374
组合 (angle120, pitch89)：AP@0.5 = 0.1682
组合 (angle140, pitch89)：AP@0.5 = 0.1818
组合 (angle160, pitch89)：AP@0.5 = 0.0825
组合 (angle180, pitch89)：AP@0.5 = 0.1316
组合 (angle200, pitch89)：AP@0.5 = 0.1496
组合 (angle220, pitch89)：AP@0.5 = 0.1818
组合 (angle240, pitch89)：AP@0.5 = 0.1621
组合 (angle260, pitch89)：AP@0.5 = 0.1818
组合 (angle280, pitch89)：AP@0.5 = 0.0909
组合 (angle300, pitch89)：AP@0.5 = 0.1351
组合 (angle320, pitch89)：AP@0.5 = 0.1136
组合 (angle340, pitch89)：AP@0.5 = 0.1392

【方法：grac】
组合 (angle0, pitch5)：AP@0.5 = 0.6479
组合 (angle20, pitch5)：AP@0.5 = 0.7552
组合 (angle40, pitch5)：AP@0.5 = 0.7395
组合 (angle60, pitch5)：AP@0.5 = 0.8156
组合 (angle80, pitch5)：AP@0.5 = 0.7061
组合 (angle100, pitch5)：AP@0.5 = 0.6810
组合 (angle120, pitch5)：AP@0.5 = 0.6635
组合 (angle140, pitch5)：AP@0.5 = 0.5898
组合 (angle160, pitch5)：AP@0.5 = 0.4495
组合 (angle180, pitch5)：AP@0.5 = 0.5755
组合 (angle200, pitch5)：AP@0.5 = 0.4122
组合 (angle220, pitch5)：AP@0.5 = 0.4884
组合 (angle240, pitch5)：AP@0.5 = 0.2645
组合 (angle260, pitch5)：AP@0.5 = 0.3088
组合 (angle280, pitch5)：AP@0.5 = 0.4522
组合 (angle300, pitch5)：AP@0.5 = 0.2751
组合 (angle320, pitch5)：AP@0.5 = 0.3800
组合 (angle340, pitch5)：AP@0.5 = 0.6828
组合 (angle0, pitch10)：AP@0.5 = 0.7295
组合 (angle20, pitch10)：AP@0.5 = 0.7642
组合 (angle40, pitch10)：AP@0.5 = 0.5841
组合 (angle60, pitch10)：AP@0.5 = 0.6871
组合 (angle80, pitch10)：AP@0.5 = 0.6526
组合 (angle100, pitch10)：AP@0.5 = 0.6309
组合 (angle120, pitch10)：AP@0.5 = 0.7184
组合 (angle140, pitch10)：AP@0.5 = 0.3957
组合 (angle160, pitch10)：AP@0.5 = 0.3547
组合 (angle180, pitch10)：AP@0.5 = 0.3939
组合 (angle200, pitch10)：AP@0.5 = 0.4137
组合 (angle220, pitch10)：AP@0.5 = 0.4880
组合 (angle240, pitch10)：AP@0.5 = 0.2558
组合 (angle260, pitch10)：AP@0.5 = 0.2347
组合 (angle280, pitch10)：AP@0.5 = 0.2891
组合 (angle300, pitch10)：AP@0.5 = 0.1191
组合 (angle320, pitch10)：AP@0.5 = 0.1795
组合 (angle340, pitch10)：AP@0.5 = 0.5056
组合 (angle0, pitch20)：AP@0.5 = 0.6937
组合 (angle20, pitch20)：AP@0.5 = 0.6109
组合 (angle40, pitch20)：AP@0.5 = 0.4607
组合 (angle60, pitch20)：AP@0.5 = 0.5891
组合 (angle80, pitch20)：AP@0.5 = 0.3381
组合 (angle100, pitch20)：AP@0.5 = 0.4311
组合 (angle120, pitch20)：AP@0.5 = 0.3817
组合 (angle140, pitch20)：AP@0.5 = 0.1904
组合 (angle160, pitch20)：AP@0.5 = 0.1091
组合 (angle180, pitch20)：AP@0.5 = 0.2806
组合 (angle200, pitch20)：AP@0.5 = 0.2733
组合 (angle220, pitch20)：AP@0.5 = 0.5360
组合 (angle240, pitch20)：AP@0.5 = 0.1293
组合 (angle260, pitch20)：AP@0.5 = 0.1148
组合 (angle280, pitch20)：AP@0.5 = 0.1465
组合 (angle300, pitch20)：AP@0.5 = 0.0622
组合 (angle320, pitch20)：AP@0.5 = 0.2075
组合 (angle340, pitch20)：AP@0.5 = 0.6068
组合 (angle0, pitch30)：AP@0.5 = 0.4518
组合 (angle20, pitch30)：AP@0.5 = 0.4144
组合 (angle40, pitch30)：AP@0.5 = 0.3873
组合 (angle60, pitch30)：AP@0.5 = 0.3416
组合 (angle80, pitch30)：AP@0.5 = 0.2339
组合 (angle100, pitch30)：AP@0.5 = 0.3144
组合 (angle120, pitch30)：AP@0.5 = 0.1402
组合 (angle140, pitch30)：AP@0.5 = 0.0858
组合 (angle160, pitch30)：AP@0.5 = 0.0614
组合 (angle180, pitch30)：AP@0.5 = 0.0756
组合 (angle200, pitch30)：AP@0.5 = 0.1829
组合 (angle220, pitch30)：AP@0.5 = 0.1986
组合 (angle240, pitch30)：AP@0.5 = 0.0806
组合 (angle260, pitch30)：AP@0.5 = 0.0806
组合 (angle280, pitch30)：AP@0.5 = 0.0477
组合 (angle300, pitch30)：AP@0.5 = 0.0207
组合 (angle320, pitch30)：AP@0.5 = 0.1468
组合 (angle340, pitch30)：AP@0.5 = 0.3999
组合 (angle0, pitch40)：AP@0.5 = 0.3704
组合 (angle20, pitch40)：AP@0.5 = 0.3611
组合 (angle40, pitch40)：AP@0.5 = 0.3144
组合 (angle60, pitch40)：AP@0.5 = 0.3464
组合 (angle80, pitch40)：AP@0.5 = 0.2499
组合 (angle100, pitch40)：AP@0.5 = 0.2567
组合 (angle120, pitch40)：AP@0.5 = 0.1342
组合 (angle140, pitch40)：AP@0.5 = 0.0405
组合 (angle160, pitch40)：AP@0.5 = 0.0359
组合 (angle180, pitch40)：AP@0.5 = 0.0436
组合 (angle200, pitch40)：AP@0.5 = 0.0871
组合 (angle220, pitch40)：AP@0.5 = 0.2858
组合 (angle240, pitch40)：AP@0.5 = 0.1010
组合 (angle260, pitch40)：AP@0.5 = 0.0593
组合 (angle280, pitch40)：AP@0.5 = 0.0367
组合 (angle300, pitch40)：AP@0.5 = 0.0239
组合 (angle320, pitch40)：AP@0.5 = 0.1408
组合 (angle340, pitch40)：AP@0.5 = 0.2692
组合 (angle0, pitch50)：AP@0.5 = 0.2679
组合 (angle20, pitch50)：AP@0.5 = 0.2576
组合 (angle40, pitch50)：AP@0.5 = 0.3298
组合 (angle60, pitch50)：AP@0.5 = 0.2983
